Season,League,Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Winner
2017-2018,Bundesliga,1,Bayern Munich,34,27,3,4,92,28,64,84,"75,000",Robert Lewandowski - 29,Sven Ulreich,Champion
2017-2018,Bundesliga,2,Schalke 04,34,18,9,7,53,37,16,63,"61,197",Guido Burgstaller - 11,Ralf FÃ¤hrmann,
2017-2018,Bundesliga,3,Hoffenheim,34,15,10,9,66,48,18,55,"28,716",Mark Uth - 14,Oliver Baumann,
2017-2018,Bundesliga,4,Dortmund,34,15,10,9,64,47,17,55,"79,496",Pierre-Emerick Aubameyang - 13,Roman BÃ¼rki,
2017-2018,Bundesliga,5,Leverkusen,34,15,10,9,58,44,14,55,"28,415",Kevin Volland - 14,Bernd Leno,
2017-2018,Bundesliga,6,RB Leipzig,34,15,8,11,57,53,4,53,"39,397",Timo Werner - 13,PÃ©ter GulÃ¡csi,
2017-2018,Bundesliga,7,Stuttgart,34,15,6,13,36,36,0,51,"56,045",Mario GÃ³mez - 8,Ron-Robert Zieler,
2017-2018,Bundesliga,8,Eint Frankfurt,34,14,7,13,45,45,0,49,"49,159",SÃ©bastien Haller - 9,LukÃ¡Å¡ HrÃ¡deckÃ½,
2017-2018,Bundesliga,9,M'Gladbach,34,13,8,13,47,52,-5,47,"50,986",Thorgan Hazard - 10,Yann Sommer,
2017-2018,Bundesliga,10,Hertha BSC,34,10,13,11,43,46,-3,43,"45,319",Salomon Kalou - 12,Rune Jarstein,
2017-2018,Bundesliga,11,Werder Bremen,34,10,12,12,37,40,-3,42,"38,726",Max Kruse - 6,JiÅ™Ã­ Pavlenka,
2017-2018,Bundesliga,12,Augsburg,34,10,11,13,43,46,-3,41,"28,238",Michael Gregoritsch - 13,Marwin Hitz,
2017-2018,Bundesliga,13,Hannover 96,34,10,9,15,44,54,-10,39,"42,706",Niclas FÃ¼llkrug - 14,Philipp Tschauner,
2017-2018,Bundesliga,14,Mainz 05,34,9,9,16,38,52,-14,36,"28,766",Yoshinori MutÅ - 8,Robin Zentner,
2017-2018,Bundesliga,15,Freiburg,34,8,12,14,32,56,-24,36,"23,894",Nils Petersen - 15,Alexander Schwolow,
2017-2018,Bundesliga,16,Wolfsburg,34,6,15,13,36,48,-12,33,"25,712",Daniel Didavi - 9,Koen Casteels,
2017-2018,Bundesliga,17,Hamburger SV,34,8,7,19,29,53,-24,31,"50,656",Lewis Holtby - 6,Christian Mathenia,
2017-2018,Bundesliga,18,KÃ¶ln,34,5,7,22,35,70,-35,22,"48,776","Leonardo Bittencourt, Simon Terodde - 5",Timo Horn,
